X,                                          T,                                              var_rho,
0.000000000000000000e+00 9.999558329582214355e-01 9.998238682746887207e-01
1.000100019155070186e-04 9.998987913131713867e-01 9.995957612991333008e-01
2.000200038310140371e-04 9.998416304588317871e-01 9.993672370910644531e-01
3.000299911946058273e-04 9.997844099998474121e-01 9.991384744644165039e-01
4.000400076620280743e-04 9.997272491455078125e-01 9.989099502563476562e-01
5.000500241294503212e-04 9.996699690818786621e-01 9.986810684204101562e-01
6.000599823892116547e-04 9.996129274368286133e-01 9.984531402587890625e-01
7.000699988566339016e-04 9.995557665824890137e-01 9.982247948646545410e-01
8.000800153240561485e-04 9.994984865188598633e-01 9.979959726333618164e-01
9.000900317914783955e-04 9.994414448738098145e-01 9.977681636810302734e-01
1.000100048258900642e-03 9.993842244148254395e-01 9.975396990776062012e-01
1.100110006518661976e-03 9.993270635604858398e-01 9.973115324974060059e-01
1.200119964778423309e-03 9.992699027061462402e-01 9.970833659172058105e-01
1.300130039453506470e-03 9.992125630378723145e-01 9.968544840812683105e-01
1.400139997713267803e-03 9.991554617881774902e-01 9.966266751289367676e-01
1.500150072388350964e-03 9.990982413291931152e-01 9.963983893394470215e-01
1.600160030648112297e-03 9.990409612655639648e-01 9.961699247360229492e-01
1.700169988907873631e-03 9.989836812019348145e-01 9.959414601325988770e-01
1.800180063582956791e-03 9.989265203475952148e-01 9.957135319709777832e-01
1.900190021842718124e-03 9.988692998886108398e-01 9.954854249954223633e-01
2.000200096517801285e-03 9.988120198249816895e-01 9.952570796012878418e-01
2.100209938362240791e-03 9.987547397613525391e-01 9.950287938117980957e-01
2.200220013037323952e-03 9.986974596977233887e-01 9.948005676269531250e-01
2.300230087712407112e-03 9.986402988433837891e-01 9.945728182792663574e-01
2.400239929556846619e-03 9.985828995704650879e-01 9.943441748619079590e-01
2.500250004231929779e-03 9.985257387161254883e-01 9.941165447235107422e-01
2.600260078907012939e-03 9.984684586524963379e-01 9.938884377479553223e-01
2.700269920751452446e-03 9.984111785888671875e-01 9.936603903770446777e-01
2.800279995426535606e-03 9.983538985252380371e-01 9.934323430061340332e-01
2.900290070101618767e-03 9.982965588569641113e-01 9.932041764259338379e-01
3.000300144776701927e-03 9.982392191886901855e-01 9.929760098457336426e-01
3.100309986621141434e-03 9.981821179389953613e-01 9.927487969398498535e-01
