 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.25000E-03  0.27715E+00  0.27303E+00
  0.75000E-03  0.27715E+00  0.27303E+00
  0.12500E-02  0.27715E+00  0.27303E+00
  0.17500E-02  0.27715E+00  0.27303E+00
  0.22500E-02  0.27715E+00  0.27303E+00
  0.27500E-02  0.27715E+00  0.27303E+00
  0.32500E-02  0.27714E+00  0.27302E+00
  0.37500E-02  0.27714E+00  0.27302E+00
  0.42500E-02  0.27714E+00  0.27302E+00
  0.47500E-02  0.27714E+00  0.27301E+00
  0.52500E-02  0.27713E+00  0.27301E+00
  0.57500E-02  0.27713E+00  0.27301E+00
  0.62500E-02  0.27712E+00  0.27300E+00
  0.67500E-02  0.27712E+00  0.27300E+00
  0.72500E-02  0.27712E+00  0.27299E+00
  0.77500E-02  0.27711E+00  0.27299E+00
  0.82500E-02  0.27710E+00  0.27298E+00
  0.87500E-02  0.27710E+00  0.27298E+00
  0.92500E-02  0.27709E+00  0.27297E+00
  0.97500E-02  0.27709E+00  0.27296E+00
  0.10250E-01  0.27708E+00  0.27296E+00
  0.10750E-01  0.27707E+00  0.27295E+00
  0.11250E-01  0.27706E+00  0.27294E+00
  0.11750E-01  0.27706E+00  0.27293E+00
  0.12250E-01  0.27705E+00  0.27292E+00
  0.12750E-01  0.27704E+00  0.27291E+00
  0.13250E-01  0.27703E+00  0.27290E+00
  0.13750E-01  0.27702E+00  0.27290E+00
  0.14250E-01  0.27701E+00  0.27289E+00
  0.14750E-01  0.27700E+00  0.27287E+00
  0.15250E-01  0.27699E+00  0.27286E+00
  0.15750E-01  0.27698E+00  0.27285E+00
  0.16250E-01  0.27697E+00  0.27284E+00
  0.16750E-01  0.27696E+00  0.27283E+00
  0.17250E-01  0.27694E+00  0.27282E+00
  0.17750E-01  0.27693E+00  0.27280E+00
  0.18250E-01  0.27692E+00  0.27279E+00
  0.18750E-01  0.27691E+00  0.27278E+00
  0.19250E-01  0.27689E+00  0.27276E+00
  0.19750E-01  0.27688E+00  0.27275E+00
  0.20250E-01  0.27687E+00  0.27274E+00
  0.20750E-01  0.27685E+00  0.27272E+00
  0.21250E-01  0.27684E+00  0.27271E+00
  0.21750E-01  0.27682E+00  0.27269E+00
  0.22250E-01  0.27681E+00  0.27267E+00
  0.22750E-01  0.27679E+00  0.27266E+00
  0.23250E-01  0.27677E+00  0.27264E+00
  0.23750E-01  0.27676E+00  0.27262E+00
  0.24250E-01  0.27674E+00  0.27261E+00
  0.24750E-01  0.27672E+00  0.27259E+00
  0.25250E-01  0.27671E+00  0.27257E+00
  0.25750E-01  0.27669E+00  0.27255E+00
  0.26250E-01  0.27667E+00  0.27253E+00
  0.26750E-01  0.27665E+00  0.27252E+00
  0.27250E-01  0.27663E+00  0.27250E+00
  0.27750E-01  0.27661E+00  0.27248E+00
  0.28250E-01  0.27659E+00  0.27246E+00
  0.28750E-01  0.27657E+00  0.27244E+00
  0.29250E-01  0.27655E+00  0.27241E+00
  0.29750E-01  0.27653E+00  0.27239E+00
  0.30250E-01  0.27651E+00  0.27237E+00
  0.30750E-01  0.27649E+00  0.27235E+00
  0.31250E-01  0.27647E+00  0.27233E+00
  0.31750E-01  0.27645E+00  0.27230E+00
  0.32250E-01  0.27642E+00  0.27228E+00
  0.32750E-01  0.27640E+00  0.27226E+00
  0.33250E-01  0.27638E+00  0.27223E+00
  0.33750E-01  0.27635E+00  0.27221E+00
  0.34250E-01  0.27633E+00  0.27218E+00
  0.34750E-01  0.27631E+00  0.27216E+00
  0.35250E-01  0.27628E+00  0.27213E+00
  0.35750E-01  0.27626E+00  0.27211E+00
  0.36250E-01  0.27623E+00  0.27208E+00
  0.36750E-01  0.27620E+00  0.27206E+00
  0.37250E-01  0.27618E+00  0.27203E+00
  0.37750E-01  0.27615E+00  0.27200E+00
  0.38250E-01  0.27612E+00  0.27197E+00
  0.38750E-01  0.27610E+00  0.27195E+00
  0.39250E-01  0.27607E+00  0.27192E+00
  0.39750E-01  0.27604E+00  0.27189E+00
  0.40250E-01  0.27601E+00  0.27186E+00
  0.40750E-01  0.27599E+00  0.27183E+00
  0.41250E-01  0.27596E+00  0.27180E+00
  0.41750E-01  0.27593E+00  0.27177E+00
  0.42250E-01  0.27590E+00  0.27174E+00
  0.42750E-01  0.27587E+00  0.27171E+00
  0.43250E-01  0.27584E+00  0.27168E+00
  0.43750E-01  0.27581E+00  0.27165E+00
  0.44250E-01  0.27577E+00  0.27161E+00
  0.44750E-01  0.27574E+00  0.27158E+00
  0.45250E-01  0.27571E+00  0.27155E+00
  0.45750E-01  0.27568E+00  0.27152E+00
  0.46250E-01  0.27565E+00  0.27148E+00
  0.46750E-01  0.27561E+00  0.27145E+00
  0.47250E-01  0.27558E+00  0.27141E+00
  0.47750E-01  0.27555E+00  0.27138E+00
  0.48250E-01  0.27551E+00  0.27134E+00
  0.48750E-01  0.27548E+00  0.27131E+00
  0.49250E-01  0.27544E+00  0.27127E+00
  0.49750E-01  0.27541E+00  0.27124E+00
  0.50250E-01  0.27537E+00  0.27120E+00
  0.50750E-01  0.27534E+00  0.27116E+00
  0.51250E-01  0.27530E+00  0.27112E+00
  0.51750E-01  0.27526E+00  0.27109E+00
  0.52250E-01  0.27523E+00  0.27105E+00
  0.52750E-01  0.27519E+00  0.27101E+00
  0.53250E-01  0.27515E+00  0.27097E+00
  0.53750E-01  0.27511E+00  0.27093E+00
  0.54250E-01  0.27507E+00  0.27089E+00
  0.54750E-01  0.27504E+00  0.27085E+00
  0.55250E-01  0.27500E+00  0.27081E+00
  0.55750E-01  0.27496E+00  0.27077E+00
  0.56250E-01  0.27492E+00  0.27073E+00
  0.56750E-01  0.27488E+00  0.27069E+00
  0.57250E-01  0.27484E+00  0.27065E+00
  0.57750E-01  0.27479E+00  0.27060E+00
  0.58250E-01  0.27475E+00  0.27056E+00
  0.58750E-01  0.27471E+00  0.27052E+00
  0.59250E-01  0.27467E+00  0.27047E+00
  0.59750E-01  0.27463E+00  0.27043E+00
  0.60250E-01  0.27458E+00  0.27039E+00
