 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.75430E+00  0.75457E+00
  0.60000E-02  0.75740E+00  0.75767E+00
  0.10000E-01  0.76050E+00  0.76075E+00
  0.14000E-01  0.76359E+00  0.76384E+00
  0.18000E-01  0.76668E+00  0.76692E+00
  0.22000E-01  0.76977E+00  0.77001E+00
  0.26000E-01  0.77285E+00  0.77308E+00
  0.30000E-01  0.77594E+00  0.77616E+00
  0.34000E-01  0.77901E+00  0.77923E+00
  0.38000E-01  0.78208E+00  0.78229E+00
  0.42000E-01  0.78515E+00  0.78535E+00
  0.46000E-01  0.78821E+00  0.78840E+00
  0.50000E-01  0.79126E+00  0.79145E+00
  0.54000E-01  0.79431E+00  0.79449E+00
  0.58000E-01  0.79735E+00  0.79752E+00
  0.62000E-01  0.80038E+00  0.80054E+00
  0.66000E-01  0.80340E+00  0.80356E+00
  0.70000E-01  0.80642E+00  0.80657E+00
  0.74000E-01  0.80942E+00  0.80957E+00
  0.78000E-01  0.81242E+00  0.81255E+00
  0.82000E-01  0.81540E+00  0.81553E+00
  0.86000E-01  0.81837E+00  0.81850E+00
  0.90000E-01  0.82134E+00  0.82146E+00
  0.94000E-01  0.82429E+00  0.82440E+00
  0.98000E-01  0.82723E+00  0.82734E+00
  0.10200E+00  0.83016E+00  0.83026E+00
  0.10600E+00  0.83307E+00  0.83317E+00
  0.11000E+00  0.83597E+00  0.83606E+00
  0.11400E+00  0.83886E+00  0.83895E+00
  0.11800E+00  0.84173E+00  0.84181E+00
  0.12200E+00  0.84459E+00  0.84467E+00
  0.12600E+00  0.84743E+00  0.84751E+00
  0.13000E+00  0.85026E+00  0.85033E+00
  0.13400E+00  0.85307E+00  0.85314E+00
  0.13800E+00  0.85587E+00  0.85593E+00
  0.14200E+00  0.85865E+00  0.85870E+00
  0.14600E+00  0.86141E+00  0.86146E+00
  0.15000E+00  0.86415E+00  0.86420E+00
  0.15400E+00  0.86688E+00  0.86692E+00
  0.15800E+00  0.86959E+00  0.86962E+00
  0.16200E+00  0.87228E+00  0.87230E+00
  0.16600E+00  0.87495E+00  0.87497E+00
  0.17000E+00  0.87760E+00  0.87762E+00
  0.17400E+00  0.88023E+00  0.88024E+00
  0.17800E+00  0.88283E+00  0.88285E+00
  0.18200E+00  0.88542E+00  0.88543E+00
  0.18600E+00  0.88799E+00  0.88799E+00
  0.19000E+00  0.89053E+00  0.89053E+00
  0.19400E+00  0.89306E+00  0.89305E+00
  0.19800E+00  0.89556E+00  0.89555E+00
  0.20200E+00  0.89804E+00  0.89802E+00
  0.20600E+00  0.90049E+00  0.90047E+00
  0.21000E+00  0.90292E+00  0.90290E+00
  0.21400E+00  0.90533E+00  0.90531E+00
  0.21800E+00  0.90771E+00  0.90769E+00
  0.22200E+00  0.91007E+00  0.91004E+00
  0.22600E+00  0.91240E+00  0.91237E+00
  0.23000E+00  0.91471E+00  0.91467E+00
  0.23400E+00  0.91699E+00  0.91695E+00
  0.23800E+00  0.91925E+00  0.91921E+00
  0.24200E+00  0.92148E+00  0.92143E+00
  0.24600E+00  0.92368E+00  0.92363E+00
  0.25000E+00  0.92585E+00  0.92580E+00
  0.25400E+00  0.92800E+00  0.92795E+00
  0.25800E+00  0.93012E+00  0.93007E+00
  0.26200E+00  0.93221E+00  0.93216E+00
  0.26600E+00  0.93428E+00  0.93422E+00
  0.27000E+00  0.93631E+00  0.93625E+00
  0.27400E+00  0.93832E+00  0.93825E+00
  0.27800E+00  0.94030E+00  0.94023E+00
  0.28200E+00  0.94224E+00  0.94217E+00
  0.28600E+00  0.94416E+00  0.94409E+00
  0.29000E+00  0.94605E+00  0.94597E+00
  0.29400E+00  0.94790E+00  0.94783E+00
  0.29800E+00  0.94973E+00  0.94965E+00
  0.30200E+00  0.95152E+00  0.95144E+00
  0.30600E+00  0.95329E+00  0.95320E+00
  0.31000E+00  0.95502E+00  0.95493E+00
  0.31400E+00  0.95672E+00  0.95663E+00
  0.31800E+00  0.95838E+00  0.95829E+00
  0.32200E+00  0.96002E+00  0.95993E+00
  0.32600E+00  0.96162E+00  0.96153E+00
  0.33000E+00  0.96319E+00  0.96310E+00
  0.33400E+00  0.96473E+00  0.96463E+00
  0.33800E+00  0.96623E+00  0.96613E+00
  0.34200E+00  0.96770E+00  0.96760E+00
  0.34600E+00  0.96914E+00  0.96903E+00
  0.35000E+00  0.97054E+00  0.97043E+00
  0.35400E+00  0.97190E+00  0.97180E+00
  0.35800E+00  0.97324E+00  0.97313E+00
  0.36200E+00  0.97454E+00  0.97443E+00
  0.36600E+00  0.97580E+00  0.97569E+00
  0.37000E+00  0.97703E+00  0.97692E+00
  0.37400E+00  0.97822E+00  0.97811E+00
  0.37800E+00  0.97938E+00  0.97927E+00
  0.38200E+00  0.98050E+00  0.98039E+00
  0.38600E+00  0.98159E+00  0.98147E+00
  0.39000E+00  0.98264E+00  0.98252E+00
  0.39400E+00  0.98365E+00  0.98354E+00
  0.39800E+00  0.98463E+00  0.98451E+00
  0.40200E+00  0.98557E+00  0.98545E+00
  0.40600E+00  0.98648E+00  0.98636E+00
  0.41000E+00  0.98734E+00  0.98722E+00
  0.41400E+00  0.98818E+00  0.98806E+00
  0.41800E+00  0.98897E+00  0.98885E+00
  0.42200E+00  0.98973E+00  0.98961E+00
  0.42600E+00  0.99045E+00  0.99033E+00
  0.43000E+00  0.99113E+00  0.99101E+00
  0.43400E+00  0.99178E+00  0.99165E+00
  0.43800E+00  0.99239E+00  0.99226E+00
  0.44200E+00  0.99296E+00  0.99283E+00
  0.44600E+00  0.99349E+00  0.99337E+00
  0.45000E+00  0.99399E+00  0.99386E+00
  0.45400E+00  0.99444E+00  0.99432E+00
  0.45800E+00  0.99486E+00  0.99474E+00
  0.46200E+00  0.99525E+00  0.99512E+00
  0.46600E+00  0.99559E+00  0.99546E+00
  0.47000E+00  0.99589E+00  0.99577E+00
  0.47400E+00  0.99616E+00  0.99603E+00
  0.47800E+00  0.99639E+00  0.99626E+00
  0.48200E+00  0.99658E+00  0.99645E+00
  0.48600E+00  0.99674E+00  0.99661E+00
  0.49000E+00  0.99685E+00  0.99672E+00
  0.49400E+00  0.99693E+00  0.99680E+00
  0.49800E+00  0.99697E+00  0.99684E+00
  0.50200E+00  0.99697E+00  0.99684E+00
  0.50600E+00  0.99693E+00  0.99680E+00
  0.51000E+00  0.99685E+00  0.99672E+00
  0.51400E+00  0.99674E+00  0.99661E+00
  0.51800E+00  0.99658E+00  0.99645E+00
  0.52200E+00  0.99639E+00  0.99626E+00
  0.52600E+00  0.99616E+00  0.99603E+00
  0.53000E+00  0.99589E+00  0.99577E+00
  0.53400E+00  0.99559E+00  0.99546E+00
  0.53800E+00  0.99525E+00  0.99512E+00
  0.54200E+00  0.99486E+00  0.99474E+00
  0.54600E+00  0.99444E+00  0.99432E+00
  0.55000E+00  0.99399E+00  0.99386E+00
  0.55400E+00  0.99349E+00  0.99337E+00
  0.55800E+00  0.99296E+00  0.99283E+00
  0.56200E+00  0.99239E+00  0.99226E+00
  0.56600E+00  0.99178E+00  0.99165E+00
  0.57000E+00  0.99113E+00  0.99101E+00
  0.57400E+00  0.99045E+00  0.99033E+00
  0.57800E+00  0.98973E+00  0.98961E+00
  0.58200E+00  0.98897E+00  0.98885E+00
  0.58600E+00  0.98818E+00  0.98806E+00
  0.59000E+00  0.98734E+00  0.98722E+00
  0.59400E+00  0.98648E+00  0.98636E+00
  0.59800E+00  0.98557E+00  0.98545E+00
  0.60200E+00  0.98463E+00  0.98451E+00
  0.60600E+00  0.98365E+00  0.98354E+00
  0.61000E+00  0.98264E+00  0.98252E+00
  0.61400E+00  0.98159E+00  0.98147E+00
  0.61800E+00  0.98050E+00  0.98039E+00
  0.62200E+00  0.97938E+00  0.97927E+00
  0.62600E+00  0.97822E+00  0.97811E+00
  0.63000E+00  0.97703E+00  0.97692E+00
  0.63400E+00  0.97580E+00  0.97569E+00
  0.63800E+00  0.97454E+00  0.97443E+00
  0.64200E+00  0.97324E+00  0.97313E+00
  0.64600E+00  0.97190E+00  0.97180E+00
  0.65000E+00  0.97054E+00  0.97043E+00
  0.65400E+00  0.96914E+00  0.96903E+00
  0.65800E+00  0.96770E+00  0.96760E+00
  0.66200E+00  0.96623E+00  0.96613E+00
  0.66600E+00  0.96473E+00  0.96463E+00
  0.67000E+00  0.96319E+00  0.96310E+00
  0.67400E+00  0.96162E+00  0.96153E+00
  0.67800E+00  0.96002E+00  0.95993E+00
  0.68200E+00  0.95838E+00  0.95829E+00
