 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.74998E+00  0.74998E+00
  0.60000E-02  0.75342E+00  0.75342E+00
  0.10000E-01  0.75682E+00  0.75682E+00
  0.14000E-01  0.76018E+00  0.76018E+00
  0.18000E-01  0.76350E+00  0.76350E+00
  0.22000E-01  0.76677E+00  0.76677E+00
  0.26000E-01  0.77001E+00  0.77001E+00
  0.30000E-01  0.77320E+00  0.77320E+00
  0.34000E-01  0.77636E+00  0.77636E+00
  0.38000E-01  0.77948E+00  0.77948E+00
  0.42000E-01  0.78256E+00  0.78256E+00
  0.46000E-01  0.78561E+00  0.78561E+00
  0.50000E-01  0.78862E+00  0.78862E+00
  0.54000E-01  0.79159E+00  0.79159E+00
  0.58000E-01  0.79453E+00  0.79453E+00
  0.62000E-01  0.79743E+00  0.79743E+00
  0.66000E-01  0.80030E+00  0.80030E+00
  0.70000E-01  0.80314E+00  0.80314E+00
  0.74000E-01  0.80594E+00  0.80594E+00
  0.78000E-01  0.80871E+00  0.80871E+00
  0.82000E-01  0.81144E+00  0.81144E+00
  0.86000E-01  0.81415E+00  0.81415E+00
  0.90000E-01  0.81682E+00  0.81682E+00
  0.94000E-01  0.81946E+00  0.81946E+00
  0.98000E-01  0.82207E+00  0.82207E+00
  0.10200E+00  0.82464E+00  0.82464E+00
  0.10600E+00  0.82719E+00  0.82719E+00
  0.11000E+00  0.82971E+00  0.82971E+00
  0.11400E+00  0.83219E+00  0.83219E+00
  0.11800E+00  0.83465E+00  0.83465E+00
  0.12200E+00  0.83707E+00  0.83707E+00
  0.12600E+00  0.83947E+00  0.83947E+00
  0.13000E+00  0.84184E+00  0.84184E+00
  0.13400E+00  0.84418E+00  0.84418E+00
  0.13800E+00  0.84649E+00  0.84649E+00
  0.14200E+00  0.84877E+00  0.84877E+00
  0.14600E+00  0.85102E+00  0.85102E+00
  0.15000E+00  0.85325E+00  0.85325E+00
  0.15400E+00  0.85545E+00  0.85545E+00
  0.15800E+00  0.85761E+00  0.85761E+00
  0.16200E+00  0.85976E+00  0.85976E+00
  0.16600E+00  0.86187E+00  0.86187E+00
  0.17000E+00  0.86396E+00  0.86396E+00
  0.17400E+00  0.86602E+00  0.86602E+00
  0.17800E+00  0.86805E+00  0.86805E+00
  0.18200E+00  0.87006E+00  0.87006E+00
  0.18600E+00  0.87204E+00  0.87204E+00
  0.19000E+00  0.87399E+00  0.87399E+00
  0.19400E+00  0.87591E+00  0.87591E+00
  0.19800E+00  0.87781E+00  0.87781E+00
  0.20200E+00  0.87969E+00  0.87969E+00
  0.20600E+00  0.88154E+00  0.88154E+00
  0.21000E+00  0.88336E+00  0.88336E+00
  0.21400E+00  0.88515E+00  0.88515E+00
  0.21800E+00  0.88692E+00  0.88692E+00
  0.22200E+00  0.88866E+00  0.88866E+00
  0.22600E+00  0.89038E+00  0.89038E+00
  0.23000E+00  0.89207E+00  0.89207E+00
  0.23400E+00  0.89374E+00  0.89374E+00
  0.23800E+00  0.89538E+00  0.89538E+00
  0.24200E+00  0.89700E+00  0.89700E+00
  0.24600E+00  0.89859E+00  0.89859E+00
  0.25000E+00  0.90015E+00  0.90015E+00
