 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.74659E+00  0.74659E+00
  0.60000E-02  0.75041E+00  0.75041E+00
  0.10000E-01  0.75418E+00  0.75418E+00
  0.14000E-01  0.75789E+00  0.75789E+00
  0.18000E-01  0.76156E+00  0.76156E+00
  0.22000E-01  0.76518E+00  0.76518E+00
  0.26000E-01  0.76875E+00  0.76875E+00
  0.30000E-01  0.77227E+00  0.77227E+00
  0.34000E-01  0.77575E+00  0.77575E+00
  0.38000E-01  0.77918E+00  0.77918E+00
  0.42000E-01  0.78257E+00  0.78257E+00
  0.46000E-01  0.78592E+00  0.78592E+00
  0.50000E-01  0.78922E+00  0.78922E+00
  0.54000E-01  0.79249E+00  0.79249E+00
  0.58000E-01  0.79571E+00  0.79571E+00
  0.62000E-01  0.79889E+00  0.79889E+00
  0.66000E-01  0.80204E+00  0.80204E+00
  0.70000E-01  0.80514E+00  0.80514E+00
  0.74000E-01  0.80821E+00  0.80821E+00
  0.78000E-01  0.81124E+00  0.81124E+00
  0.82000E-01  0.81424E+00  0.81424E+00
  0.86000E-01  0.81720E+00  0.81720E+00
  0.90000E-01  0.82012E+00  0.82012E+00
  0.94000E-01  0.82301E+00  0.82301E+00
  0.98000E-01  0.82586E+00  0.82586E+00
  0.10200E+00  0.82868E+00  0.82868E+00
  0.10600E+00  0.83147E+00  0.83147E+00
  0.11000E+00  0.83422E+00  0.83422E+00
  0.11400E+00  0.83694E+00  0.83694E+00
  0.11800E+00  0.83962E+00  0.83962E+00
  0.12200E+00  0.84228E+00  0.84228E+00
  0.12600E+00  0.84490E+00  0.84490E+00
  0.13000E+00  0.84749E+00  0.84749E+00
  0.13400E+00  0.85005E+00  0.85005E+00
  0.13800E+00  0.85258E+00  0.85258E+00
  0.14200E+00  0.85508E+00  0.85508E+00
  0.14600E+00  0.85755E+00  0.85755E+00
  0.15000E+00  0.85999E+00  0.85999E+00
  0.15400E+00  0.86240E+00  0.86240E+00
  0.15800E+00  0.86477E+00  0.86477E+00
  0.16200E+00  0.86712E+00  0.86712E+00
  0.16600E+00  0.86944E+00  0.86944E+00
  0.17000E+00  0.87174E+00  0.87174E+00
  0.17400E+00  0.87400E+00  0.87400E+00
